Timepoint,Usage
2025-10-21 0:00:00,0
2025-10-21 1:00:00,0
2025-10-21 2:00:00,0
2025-10-21 3:00:00,1.3
2025-10-21 4:00:00,6.6
2025-10-21 5:00:00,2.5
2025-10-21 6:00:00,0
2025-10-21 7:00:00,5.3
2025-10-21 8:00:00,7.1
2025-10-21 9:00:00,7.2
2025-10-21 10:00:00,7.5
2025-10-21 11:00:00,7
2025-10-21 12:00:00,8
2025-10-21 13:00:00,7.7
2025-10-21 14:00:00,8
2025-10-21 15:00:00,11.2
2025-10-21 16:00:00,12.8
2025-10-21 17:00:00,12.5
2025-10-21 18:00:00,11.4
2025-10-21 19:00:00,6.5
2025-10-21 20:00:00,6.4
2025-10-21 21:00:00,4.9
2025-10-21 22:00:00,3.6
2025-10-21 23:00:00,3.7
2025-10-22 0:00:00,2.1
2025-10-22 1:00:00,0.9989
2025-10-22 2:00:00,1.0011
2025-10-22 3:00:00,1.3
2025-10-22 4:00:00,1.5
2025-10-22 5:00:00,1.7
2025-10-22 6:00:00,1.8
2025-10-22 7:00:00,4.8
2025-10-22 8:00:00,7
2025-10-22 9:00:00,9.5
2025-10-22 10:00:00,10.3
2025-10-22 11:00:00,9.8
2025-10-22 12:00:00,9.9
2025-10-22 13:00:00,9.4
2025-10-22 14:00:00,12.4
2025-10-22 15:00:00,10
2025-10-22 16:00:00,14.1
2025-10-22 17:00:00,12.6
2025-10-22 18:00:00,11.1
2025-10-22 19:00:00,6.8
2025-10-22 20:00:00,6.5
2025-10-22 21:00:00,4.2
2025-10-22 22:00:00,3.4
2025-10-22 23:00:00,3.3
2025-10-23 0:00:00,1.6
2025-10-23 1:00:00,1.5483
2025-10-23 2:00:00,1.5517
2025-10-23 3:00:00,1.3
2025-10-23 4:00:00,1.3
2025-10-23 5:00:00,1.8
2025-10-23 6:00:00,3.6
2025-10-23 7:00:00,4.2
2025-10-23 8:00:00,7.6
2025-10-23 9:00:00,9
2025-10-23 10:00:00,10.4
2025-10-23 11:00:00,11.6
2025-10-23 12:00:00,11
2025-10-23 13:00:00,11.5
2025-10-23 14:00:00,10.2
2025-10-23 15:00:00,12.4
2025-10-23 16:00:00,9.5
2025-10-23 17:00:00,12.8
2025-10-23 18:00:00,9.7
2025-10-23 19:00:00,6.3
2025-10-23 20:00:00,4.7
2025-10-23 21:00:00,5.7
2025-10-23 22:00:00,4.9
2025-10-23 23:00:00,3.6
2025-10-24 0:00:00,1.6
2025-10-24 1:00:00,0.8991
2025-10-24 2:00:00,0.9009
2025-10-24 3:00:00,1.3
2025-10-24 4:00:00,1.5
2025-10-24 5:00:00,1.6
2025-10-24 6:00:00,2.4
2025-10-24 7:00:00,3.6
2025-10-24 8:00:00,7
2025-10-24 9:00:00,8
2025-10-24 10:00:00,13.9
2025-10-24 11:00:00,12.7
2025-10-24 12:00:00,13.9
2025-10-24 13:00:00,10.9
2025-10-24 14:00:00,11.9
2025-10-24 15:00:00,11.4
2025-10-24 16:00:00,11.3
2025-10-24 17:00:00,9.7
2025-10-24 18:00:00,10.2
2025-10-24 19:00:00,7.5
2025-10-24 20:00:00,5.5
2025-10-24 21:00:00,5
2025-10-24 22:00:00,4.3
2025-10-24 23:00:00,3.6
2025-10-25 0:00:00,1.7
2025-10-25 1:00:00,0.999
2025-10-25 2:00:00,1.001
2025-10-25 3:00:00,1.6
2025-10-25 4:00:00,1.7
2025-10-25 5:00:00,1.5
2025-10-25 6:00:00,2.1
2025-10-25 7:00:00,4.7
2025-10-25 8:00:00,10.1
2025-10-25 9:00:00,7.5
2025-10-25 10:00:00,7.2
2025-10-25 11:00:00,8.7
2025-10-25 12:00:00,7.1
2025-10-25 13:00:00,7.5
2025-10-25 14:00:00,7.5
2025-10-25 15:00:00,8.4
2025-10-25 16:00:00,9.7
2025-10-25 17:00:00,7.1
2025-10-25 18:00:00,8.4
2025-10-25 19:00:00,5.3
2025-10-25 20:00:00,4.4
2025-10-25 21:00:00,4
2025-10-25 22:00:00,4.4
2025-10-25 23:00:00,5
2025-10-26 0:00:00,3.7
2025-10-26 1:00:00,1.3487
2025-10-26 2:00:00,1.3513
2025-10-26 3:00:00,1.9
2025-10-26 4:00:00,1.6
2025-10-26 5:00:00,1.5
2025-10-26 6:00:00,1.9
2025-10-26 7:00:00,2.8
2025-10-26 8:00:00,3.9
2025-10-26 9:00:00,6.7
2025-10-26 10:00:00,6
2025-10-26 11:00:00,6.3
2025-10-26 12:00:00,5.7
2025-10-26 13:00:00,5.6
2025-10-26 14:00:00,5.4
2025-10-26 15:00:00,5.3
2025-10-26 16:00:00,5
2025-10-26 17:00:00,4.7
2025-10-26 18:00:00,4.6
2025-10-26 19:00:00,4.7
2025-10-26 20:00:00,4.5
2025-10-26 21:00:00,3.8
2025-10-26 22:00:00,4.1
2025-10-26 23:00:00,3.5
2025-10-27 0:00:00,1.5
2025-10-27 1:00:00,1.1987
2025-10-27 2:00:00,1.2013
2025-10-27 3:00:00,2.1
2025-10-27 4:00:00,2.1
2025-10-27 5:00:00,1.6
2025-10-27 6:00:00,2.4
2025-10-27 7:00:00,4.9
2025-10-27 8:00:00,6.2
2025-10-27 9:00:00,8.4
2025-10-27 10:00:00,8.5
2025-10-27 11:00:00,10.5
2025-10-27 12:00:00,8.7
2025-10-27 13:00:00,8.9
2025-10-27 14:00:00,10.7
2025-10-27 15:00:00,8.7
2025-10-27 16:00:00,8.9
2025-10-27 17:00:00,7.9
2025-10-27 18:00:00,6.9
2025-10-27 19:00:00,5.3
2025-10-27 20:00:00,4.2
2025-10-27 21:00:00,3.8
2025-10-27 22:00:00,3.4
2025-10-27 23:00:00,3.1
2025-10-28 0:00:00,1.5
2025-10-28 1:00:00,1.2
2025-10-28 2:00:00,1.2
2025-10-28 3:00:00,1.5
2025-10-28 4:00:00,1.6
2025-10-28 5:00:00,1.6
2025-10-28 6:00:00,4.4
2025-10-28 7:00:00,6.1
2025-10-28 8:00:00,8.1
2025-10-28 9:00:00,7.7
2025-10-28 10:00:00,8.4
2025-10-28 11:00:00,12
2025-10-28 12:00:00,7.6
2025-10-28 13:00:00,10.5
2025-10-28 14:00:00,12
2025-10-28 15:00:00,8.2
2025-10-28 16:00:00,11.9
2025-10-28 17:00:00,12.7
2025-10-28 18:00:00,12.1
2025-10-28 19:00:00,10.7
2025-10-28 20:00:00,8.1
2025-10-28 21:00:00,7.9
2025-10-28 22:00:00,8.2
2025-10-28 23:00:00,7.8
2025-10-29 0:00:00,3.7
2025-10-29 1:00:00,1.0989
2025-10-29 2:00:00,1.1011
2025-10-29 3:00:00,1.3
2025-10-29 4:00:00,1.2
2025-10-29 5:00:00,1.4
2025-10-29 6:00:00,1.9
2025-10-29 7:00:00,4.1
2025-10-29 8:00:00,6.5
2025-10-29 9:00:00,8.8
2025-10-29 10:00:00,8.4
2025-10-29 11:00:00,8.8
2025-10-29 12:00:00,9.4
2025-10-29 13:00:00,9.1
2025-10-29 14:00:00,11.1
2025-10-29 15:00:00,10
2025-10-29 16:00:00,8.7
2025-10-29 17:00:00,10.2
2025-10-29 18:00:00,9.3
2025-10-29 19:00:00,5.2
2025-10-29 20:00:00,4.5
2025-10-29 21:00:00,4.5
2025-10-29 22:00:00,4.7
2025-10-29 23:00:00,4.5
2025-10-30 0:00:00,2.3
2025-10-30 1:00:00,1.4
2025-10-30 2:00:00,1.3
2025-10-30 3:00:00,1.5
2025-10-30 4:00:00,2.2
2025-10-30 5:00:00,2.2
2025-10-30 6:00:00,2.7
2025-10-30 7:00:00,5.4
2025-10-30 8:00:00,6.4
2025-10-30 9:00:00,7.6
2025-10-30 10:00:00,9.2
2025-10-30 11:00:00,11.3
2025-10-30 12:00:00,9.6
2025-10-30 13:00:00,8.2
2025-10-30 14:00:00,10.4
2025-10-30 15:00:00,7.8
2025-10-30 16:00:00,9.9
2025-10-30 17:00:00,9.2
2025-10-30 18:00:00,6.3
2025-10-30 19:00:00,4.5
2025-10-30 20:00:00,4.9
2025-10-30 21:00:00,3.7
2025-10-30 22:00:00,3.8
2025-10-30 23:00:00,3.1
2025-10-31 0:00:00,1.6
2025-10-31 1:00:00,1.1
2025-10-31 2:00:00,1.1
2025-10-31 3:00:00,1.1
2025-10-31 4:00:00,1.4
2025-10-31 5:00:00,1.1
2025-10-31 6:00:00,2.1
2025-10-31 7:00:00,4.4
2025-10-31 8:00:00,8.7
2025-10-31 9:00:00,8.4
2025-10-31 10:00:00,10.5
2025-10-31 11:00:00,13.4
2025-10-31 12:00:00,11.4
2025-10-31 13:00:00,10
2025-10-31 14:00:00,12
2025-10-31 15:00:00,12.2
2025-10-31 16:00:00,12.7
2025-10-31 17:00:00,11.1
2025-10-31 18:00:00,10.1
2025-10-31 19:00:00,7.9
2025-10-31 20:00:00,7.1
2025-10-31 21:00:00,6.7
2025-10-31 22:00:00,6.8
2025-10-31 23:00:00,4.7
