Timepoint,Usage
2025-10-01 1:00:00,1.6482
2025-10-01 2:00:00,1.6518
2025-10-01 3:00:00,1.7
2025-10-01 4:00:00,2
2025-10-01 5:00:00,2.6
2025-10-01 6:00:00,3.5
2025-10-01 7:00:00,5.6
2025-10-01 8:00:00,8.9
2025-10-01 9:00:00,13.9
2025-10-01 10:00:00,16.4
2025-10-01 11:00:00,17.7
2025-10-01 12:00:00,13.7
2025-10-01 13:00:00,16.1
2025-10-01 14:00:00,17.1
2025-10-01 15:00:00,15.3
2025-10-01 16:00:00,15.4
2025-10-01 17:00:00,16.2
2025-10-01 18:00:00,11.9
2025-10-01 19:00:00,8.4
2025-10-01 20:00:00,6.1
2025-10-01 21:00:00,7.5
2025-10-01 22:00:00,9.7
2025-10-01 23:00:00,7.9
2025-10-02 0:00:00,2.8
2025-10-02 1:00:00,1.9981
2025-10-02 2:00:00,2.0019
2025-10-02 3:00:00,2.2
2025-10-02 4:00:00,2.5
2025-10-02 5:00:00,3.2
2025-10-02 6:00:00,3.4
2025-10-02 7:00:00,4.9
2025-10-02 8:00:00,8.2
2025-10-02 9:00:00,11.2
2025-10-02 10:00:00,15.4
2025-10-02 11:00:00,14.5
2025-10-02 12:00:00,16.2
2025-10-02 13:00:00,16
2025-10-02 14:00:00,16.7
2025-10-02 15:00:00,14.3
2025-10-02 16:00:00,17.1
2025-10-02 17:00:00,13.7
2025-10-02 18:00:00,13.2
2025-10-02 19:00:00,10.6
2025-10-02 20:00:00,5.5
2025-10-02 21:00:00,4.7
2025-10-02 22:00:00,3.9
2025-10-02 23:00:00,2.7
2025-10-03 0:00:00,1.1
2025-10-03 1:00:00,0.6993
2025-10-03 2:00:00,0.7007
2025-10-03 3:00:00,1.1
2025-10-03 4:00:00,1.2
2025-10-03 5:00:00,1.8
2025-10-03 6:00:00,2.6
2025-10-03 7:00:00,4.4
2025-10-03 8:00:00,9.3
2025-10-03 9:00:00,10.3
2025-10-03 10:00:00,11.8
2025-10-03 11:00:00,14.4
2025-10-03 12:00:00,12.9
2025-10-03 13:00:00,15.4
2025-10-03 14:00:00,17.4
2025-10-03 15:00:00,19.7
2025-10-03 16:00:00,16.3
2025-10-03 17:00:00,15
2025-10-03 18:00:00,11.8
2025-10-03 19:00:00,10.4
2025-10-03 20:00:00,7.4
2025-10-03 21:00:00,6.6
2025-10-03 22:00:00,6
2025-10-03 23:00:00,3.7
2025-10-04 0:00:00,1.5
2025-10-04 1:00:00,2.1476
2025-10-04 2:00:00,2.1524
2025-10-04 3:00:00,2.6
2025-10-04 4:00:00,2.8
2025-10-04 5:00:00,3.4
2025-10-04 6:00:00,4.5
2025-10-04 7:00:00,7.2
2025-10-04 8:00:00,9.3
2025-10-04 9:00:00,10.2
2025-10-04 10:00:00,11.5
2025-10-04 11:00:00,11.5
2025-10-04 12:00:00,11.5
2025-10-04 13:00:00,11.3
2025-10-04 14:00:00,11.5
2025-10-04 15:00:00,12.5
2025-10-04 16:00:00,10.6
2025-10-04 17:00:00,11.4
2025-10-04 18:00:00,10.2
2025-10-04 19:00:00,8.1
2025-10-04 20:00:00,7.7
